Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02721,JOHN PETERS PROFESSIONAL LIMOUSINES INC,,2017,3,March,21,0,4
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2018,6,June,"1,099",0,23
B02028,FOREST AVENUE CAR SERVICE INC,,2017,3,March,"2,171",0,5
B01391,ROSE 'N' DALE C/S INC,,2018,10,October,"1,734",0,10
B02468,GROUNDLINK HOLDINGS LLC,GROUNDLINK YOUR'E GOOD TO GO,2016,6,June,"2,926",0,59
B02219,ALL QUEENS CAR & LIMOUSINE INC.,CAR ON TIME,2016,6,June,149,0,9
B02320,GDS TRANSPORTATION CORP.,UPPER CAR SERVICE,2018,5,May,"1,549",0,18
B02292,NEW YORK APPLE V.I.P. CORP,,2015,7,July,376,0,27
B01739,CITY CAR SERVICE CORP,DIGITAL CAR SERVICE,2016,3,March,"1,978",0,9
B00987,AHSAN INC.,MARLBORO CAR SERVICE,2017,9,September,132,0,2
B02331,"CHICO EXPRESS LIMO, INC.",,2016,12,December,"1,377",0,10
B03012,MEGA LIMO SERVICES INC.,,2018,4,April,"2,068",0,13
B02320,GDS TRANSPORTATION CORP.,UPPER CAR SERVICE,2016,12,December,"3,590",0,37
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,2018,2,February,"2,330",0,64
B01606,LA MEXICANA EXPRESS INC.,,2016,8,August,"39,841",0,144
B02729,LOW TOUCH LUXURY INC.,,2017,6,June,275,0,19
B01699,DT BROOKLYN CAR AND LIMO SVC. INC.,FIVE BOROUGHS CAR SERVICE,2017,12,December,210,0,3
B02440,MLL LIMOUSINE SERVICES INC.,,2017,3,March,"1,233",0,31
b00833,OMEGA CAR SERVICE INC.,,2017,8,August,965,0,7
B02028,FOREST AVENUE CAR SERVICE INC,,2018,9,September,"1,018",0,4
B01846,ROMANTIQUE LIMOUSINE INC.,,2016,5,May,54,0,10
B00385,DELINCE CAR LIVERY SERVICE CORP.,WHITE TOP CAR SERVICE,2016,12,December,"1,230",0,26
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,2018,12,December,208,0,12
B00255,CAUTIOUS CARS INC.,,2017,3,March,279,0,14
B02715,GROUNDANYWHERE LLC,,2016,11,November,"13,722",0,446
B01907,BEN'S LUXURY CAR & LIMOUSINE SERVICE INC,,2016,12,December,"2,255",0,53
B02939,GREAT EXPRESS CAR & LIMOUSINE SERVICE INC,,2017,3,March,"1,547",0,8
B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",,2019,1,January,"2,567",0,78
B02308,NORWOOD CAR & LIMO INC.,,2017,3,March,"1,968",0,24
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2016,7,July,"17,692",0,65
B01625,GLOBE CAR SERVICE INC,,2017,3,March,"1,792",0,5
B01436,NEW PRONTO TRANSP INC,,2016,6,June,"1,848",0,27
B01306,"R N D TRANSPORTATION, INC.",MALONES CAR SVCE,2018,5,May,212,0,5
B03174,NEW HEAVEN LUXURY INC,,2018,12,December,51,0,2
B01479,PRATT CAR SERVICE INC,,2018,7,July,664,0,4
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2017,6,June,448,0,14
B00860,SEAMAN RADIO DISPATCHERS INC,,2018,11,November,"18,810",0,95
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2016,5,May,755,0,18
B00255,CAUTIOUS CARS INC.,,2016,12,December,222,0,13
B00030,TREMONT DISPATCHING CORP,,2015,12,December,187,0,2
B01444,REGO PARK EXPRESS INC.,,2017,4,April,"6,951",0,20
B02265,"COUNTY CAR SERVICE, INC.",,2016,4,April,674,0,5
B01469,"BROTHERS CAR SERVICE, INC.",,2018,3,March,"7,571",0,49
B01083,BROAD DYCKMAN C/S INC,,2017,2,February,"14,222",0,88
B00325,CONTINENTAL RADIO DISPATCH CORP.,,2017,8,August,539,0,5
B00346,MERRICK C/S INC,,2017,2,February,"1,539",0,8
B01742,"AVALON TRANSPORTATION, LLC",,2017,12,December,432,0,16
B02687,ECO RIDE INC.,ELECTRIC BLUE CAR SERVICE,2017,10,October,"1,858",0,9
B01674,NEW PUEBLA CAR & LIMOUSINE SERVICE INC.,,2016,1,January,"5,268",0,24
B02147,"MITA LIMOUSINE, INC.",,2015,12,December,632,0,22
B00860,SEAMAN RADIO DISPATCHERS INC,,2016,3,March,"50,747",0,228
B01083,BROAD DYCKMAN C/S INC,,2017,5,May,"12,280",0,64
B00001,LONDON TOWNCARS INC,,2016,1,January,"1,819",0,40
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2018,1,January,"3,073",0,17
B00882,U N C CAR & LIMO SERVICE,,2017,8,August,176,0,7
B01614,R TRANSPORT INC,,2018,8,August,567,0,4
B01467,NEW EXPERIENCE #1 INC,,2016,2,February,"21,082",0,99
B00222,"REYNO CAR SVC, INC.",,2018,7,July,"2,908",0,21
B02817,ANYTIME FORSYTH TRANSPORT CORP,,2016,10,October,5,0,4
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2017,5,May,"13,660",0,134
B02144,"SILVER STAR LIMOUSINES, INC.",,2018,5,May,312,0,11
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2015,9,September,977,0,23
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2016,12,December,"8,837",0,65
b01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2015,7,July,"1,292",0,17
B01731,ROSEDALE BASE CAR SERVICE CORP.,DANNY'S CAR SERVICE,2017,4,April,"1,032",0,5
B02799,CHURCH AVENUE EXPRESS INC,,2018,6,June,"2,377",0,12
B02787,SEMPERIDE LLC,,2018,7,July,47,0,9
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2018,4,April,185,0,1
B02717,ZOOM CAR SERVICE INC.,,2018,4,April,868,0,3
B02401,NEW NORTH SIDE LUXURY CORP.,MAGNA,2015,10,October,"2,843",0,20
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2018,6,June,"21,750",0,147
B01300,KENNEDY RAD DISP INC,,2017,5,May,"11,609",0,87
B01196,DIPLO RAD DISP INC,,2016,3,March,"26,483",0,158
b00802,BELL CAR SVC INC,,2016,9,September,"13,969",0,55
B00037,TRANSP UNLIMITED C/S,,2018,10,October,"6,120",0,24
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2017,9,September,982,0,46
B01065,EL BARRIO'S CAR SERVICE LLC,,2016,5,May,"20,245",0,123
B03047,"STS LUXURY, INC",,2019,1,January,"3,033",0,48
B02491,CALL THREES LLC,,2018,1,January,71,0,1
B02728,NEWTOWN PRIVATE CAR SERVICE INC.,,2016,1,January,"5,280",0,24
B01081,GEORGE TOWN MANAGEMENT INC,,2015,11,November,"1,617",0,14
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,,2017,4,April,"2,911",0,41
VIA,VIA,VIA,2017,11,November,"968,057","631,889","5,262"
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2016,1,January,280,0,5
B02539,HAWK CAR AND LIMO SERVICE,JRIDE,2016,6,June,"2,364",0,12
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2017,11,November,422,0,20
B02106,"PERFECT LIMO SERVICE, INC.",,2016,2,February,12,0,6
B00888,ACE C/L SVCE INC,,2018,11,November,"1,412",0,36
B02707,CORONA PLAZA CAR & LIMO SERVICES INC.,,2017,11,November,"1,352",0,21
B02996,FOREVER BLUE CAR SERVICE INC.,,2017,4,April,"3,570",0,29
b01244,MASADA II C/L SVC INC,,2016,3,March,"2,270",0,7
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",LSW CHAUFFEURED TRANSPORTATION,2016,2,February,142,0,14
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,2015,7,July,1,0,1
B01263,"RACHEL'S CAR SERVICE,INC.",,2017,2,February,"5,874",0,17
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2018,7,July,"3,158",0,12
b02881,DIANE CAR AND LIMO SERVICE LLC,,2017,5,May,"5,135",0,42
b01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2016,4,April,"2,290",0,14
B03008,CROWN CAR & LIMO SERVICE INC.,,2017,5,May,63,0,5
B02594,FENIX MOBILE DISPATCHERS LTD,,2016,3,March,"2,765",0,8
B02728,NEWTOWN PRIVATE CAR SERVICE INC.,,2016,7,July,"4,550",0,16
B02311,FAST CITY CAR & LIMO SVC INC.,,2016,9,September,"2,571",0,18
B02990,GO MY SEDAN LLC,,2018,12,December,3,0,2
B00111,SKYLINE CREDIT RIDE INC,,2018,2,February,"15,890",0,279
b00881,CROSSBAY CAR SERVICE NY INC,,2016,1,January,53,0,3
B00860,SEAMAN RADIO DISPATCHERS INC,,2016,7,July,"43,436",0,206
B02825,GUADALUPANA II CAR & LIMO INC,,2017,2,February,"1,517",0,6
B01821,EMPIRE TRANSPORTATION SERVICE INC.,,2018,9,September,"1,110",0,7
B01424,EAGLE CAR & LIMO LTD.,,2018,10,October,321,0,2
B02709,DASH CAR SERVICE CORP,,2018,6,June,"1,085",528,3
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,2016,4,April,"7,192",0,58
B01663,CIBAO RADIO DISPATCH,,2016,7,July,"16,425",0,102
B01236,BLS LIMO SVC OF NY INC,,2018,3,March,"2,679",0,105
B03007,THE NEW SPANISH CAR & LIMO INC,,2017,7,July,327,0,13
B01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2018,6,June,"4,875",0,15
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2016,5,May,"6,285",0,39
B01285,UNION RADIO DISPATCH INC,,2016,4,April,"39,428",0,186
B02784,SMILE TRANSPORTATION GROUP INC,,2015,12,December,"4,073",0,14
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2019,1,January,"39,669",0,564
B02787,SEMPERIDE LLC,,2018,1,January,30,0,7
B02058,MEX SERVICE INC,MEX EXPRESS CAR SERVICE,2015,11,November,"12,193",0,92
B01470,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2018,2,February,"1,970",0,23
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2017,3,March,913,0,8
B01764,QUICK RIDE CORP.,,2018,10,October,561,0,9
B01636,HEIGHTS CAR & LIMO INC,,2015,12,December,"1,176",0,7
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2016,2,February,"1,388",0,11
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2017,2,February,"16,096",0,90
B01546,BELLE-ROCK OF BEACH CHANNEL INC.,,2016,5,May,"2,679",0,11
B02896,DJOUMA LIMO INC,,2017,4,April,3,0,3
B00220,BIG EAST MULTI GROUP CORP.,PREMIER CAR SERVICE,2015,12,December,"2,964",0,32
B01445,J T TRANS CO INC,,2016,4,April,"4,327",0,61
B02547,NICK CAR & LIMO SERVICE INC.,,2016,12,December,84,0,10
B00202,"EXCELSIOR CAR & LIMO, INC.",,2016,10,October,"1,156",0,19
B01970,GRAFE STREET SERVICE CORP.,,2016,1,January,187,0,11
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2018,9,September,"6,887",0,54
B01525,NORTHSIDE LUXURY INC.,,2016,9,September,"7,598",0,114
B02717,ZOOM CAR SERVICE INC.,,2015,12,December,"1,523",0,6
B02311,FAST CITY CAR & LIMO SVC INC.,,2018,1,January,"2,061",0,12
B02814,BELL LX INC,,2018,9,September,"6,653",0,26
B02762,SHOWTIME TRANSPORTATION CORP.,,2017,12,December,"1,950",0,32
b00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2016,7,July,"12,058",0,25
B02517,LOS PAISANOS LUXURY C/S INC.,,2018,4,April,717,0,5
B00318,APPLE RADIO CARS INC,,2017,5,May,"5,677",0,38
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,2015,12,December,"4,333",0,92
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2018,11,November,502,0,12
B01389,METRO LUXURY INC,,2018,9,September,"1,302",0,12
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2016,5,May,"4,633",0,47
B00318,APPLE RADIO CARS INC,,2016,7,July,"8,081",0,58
B02704,SPRINGFIELD CAR SERVICE INC,,2017,11,November,775,0,12
UBER,UBER,UBER,2016,8,August,"5,893,649",0,"40,336"
B02453,MCW CAR & LIMO INC.,,2018,10,October,37,0,8
B02279,MATAMOROS CAR SERVICE INC.,,2016,6,June,"10,351",0,29
B02727,OSCAR LIMOUSINE INC,,2018,1,January,335,0,7
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2018,4,April,86,0,6
B01467,NEW EXPERIENCE #1 INC,,2017,5,May,"11,980",0,53
UBER,UBER,UBER,2018,2,February,"11,506,356","2,643,389","65,375"
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2016,9,September,"3,918",0,41
B02594,FENIX MOBILE DISPATCHERS LTD,,2018,10,October,487,0,2
B01016,810 CAR SVCE CORP,,2018,11,November,"7,567",0,29
B01146,CHURCH AVE C/S INC,,2016,5,May,"16,284",0,64
B01593,"NOVAK GLOBAL, INC.",SKYWAY CAR SERVICE,2017,10,October,"1,298",0,11
B00475,RIDGE TRANSPORTATION CORP.,,2015,4,April,"4,356",0,13
B02992,UNLS CORP,RELIABLE CAR & LIMO SERVICE,2017,1,January,102,0,3
B02277,"LIMO VISION, INC.",,2017,11,November,79,0,3
B01944,"DAG NETWORK TRANSPORTATION,CORP",,2017,4,April,270,0,14
B01343,ALL PEOPLE CAR SERVICE INC.,,2017,5,May,"2,756",0,19
B01751,CONCORDE EXP OF N.Y. INC,,2018,1,January,"1,974",0,7
B01437,MERENGUE LIMO & C/S INC,,2016,3,March,"12,727",0,47
B01510,JPAN TRANSPORTATION INC,PARSONS CAR SERVICE,2018,6,June,499,0,3
B02320,GDS TRANSPORTATION CORP.,UPPER CAR SERVICE,2016,6,June,"3,768",0,40
B02814,BELL LX INC,,2018,12,December,"8,451",0,39
B01871,"ALPINE LIMOUSINE SERVICE, INC.",,2018,6,June,"2,376",0,82
B01061,DAT RADIO DISP INC,,2017,11,November,"35,752",0,156
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2019,1,January,748,0,22
B02929,OTTOMAN TRANSPORTATION INC.,,2017,2,February,109,0,10
B02553,"NEW JUBILEE CAR SERVICE, INC.",,2018,6,June,"1,994",0,23
B03000,ZAPP CAR SERVICE INC.,,2018,9,September,68,0,2
B01339,R C AUDUBON SVC INC,,2016,12,December,"18,006",0,133
B01821,EMPIRE TRANSPORTATION SERVICE INC.,,2017,11,November,"1,748",0,6
B02460,CABOT LIMO NY CORP.,,2016,2,February,764,0,21
B01083,BROAD DYCKMAN C/S INC,,2017,4,April,"15,591",0,79
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2018,8,August,370,0,12
B02702,NEW SAFARI CAR & LIMO INC.,,2015,11,November,31,0,2
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2017,10,October,23,0,2
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2015,10,October,"35,341",0,170
B01741,MONACO LIMO & CAR SERVICES INC.,,2017,5,May,"3,472",0,39
B03033,FLEX EXPRESS CORP.,,2018,6,June,"4,611",0,24
B01930,NORTENA EXPRESS CAR SERVICE INC.,,2018,3,March,"1,109",0,5
B02249,"LA RAZA CAR SERVICE, INC.",,2016,4,April,"11,727",0,62
b00833,OMEGA CAR SERVICE INC.,,2018,5,May,"1,020",0,5
B02611,SS LIMOUSINE SERVICE INC,,2018,3,March,107,0,4
B02106,"PERFECT LIMO SERVICE, INC.",,2017,12,December,15,0,12
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2018,8,August,218,0,7
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2017,4,April,"4,754",0,23
B02003,"AVALON CORPORATE CAR,INC.",,2017,4,April,"3,520",0,97
b01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2016,3,March,"8,077",0,23
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2019,1,January,"7,272",0,96
B02897,FC LIMOUSINE INC,,2018,1,January,374,0,17
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2018,9,September,464,0,19
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2018,9,September,"7,117",0,203
B02397,"CHICO EXPRESS,INC.",,2017,1,January,"2,353",0,10
B00325,CONTINENTAL RADIO DISPATCH CORP.,,2017,12,December,573,0,7
B02285,"VALERA GLOBAL, INC.",,2016,9,September,"2,567",0,90
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2015,2,February,"12,530",0,72
B00255,CAUTIOUS CARS INC.,,2015,4,April,276,0,18
B01923,"AVID INTERNATIONAL, INC.",,2016,10,October,"1,084",0,19
B00411,FONE-A-CAR INC,,2016,3,March,"4,294",0,66
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,,2015,8,August,"5,419",0,58
B01466,FIVE STAR,,2018,8,August,791,0,8
B00919,HARLEM CARS INC.,,2017,12,December,"11,194",0,61
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2018,1,January,242,0,14
B02515,OLS LIMOUSINE SERVICE INC.,,2015,12,December,17,0,2
B01087,ELITE LIMO PLUS INC,,2017,7,July,"11,373",0,304
B00225,DELANCEY TRANSPORTATION INC.,,2018,6,June,"8,470",0,49
B01808,OLD TOWN CARS CORP,DELTA CARS,2018,9,September,"3,276",0,6
B01875,ON LINE LIMOUSINE LLC,,2016,2,February,"3,371",0,65
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2015,7,July,"33,896",0,175
B01391,ROSE 'N' DALE C/S INC,,2017,9,September,"1,980",0,12
b01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2016,2,February,"2,985",0,10
B02550,AGAPE LUXURY CORP.,,2018,10,October,"22,034",0,216
B02614,MEXICO LA  NEW POBLANITA EXPRESS INC.,,2017,2,February,"3,648",0,23
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2017,12,December,"18,741",0,69
B00975,"T.J.Q. CAR SERVICE, INC.",QUALITY CAR SVCE,2017,1,January,"3,561",0,38
B02984,GRAND PRIX TRANSPORTATION LLC,,2017,12,December,91,0,6
B00170,EMUNAH CAR SERVICE INC,,2015,7,July,"1,260",0,8
B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",,2017,3,March,"1,456",0,7
B02249,"LA RAZA CAR SERVICE, INC.",,2017,7,July,"6,390",0,45
b01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2015,12,December,"3,461",0,10
B01537,S.I. SPEED INC.,,2016,6,June,"4,260",0,26
B02784,SMILE TRANSPORTATION GROUP INC,,2018,3,March,"8,185",0,36
B00802,BELL CAR SVC INC,,2017,6,June,"8,597",0,36
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2016,7,July,"20,834",0,90
B02849,BROOKLYN RIDES CORP,,2016,10,October,"3,247",0,21
B02814,BELL LX INC,,2018,5,May,"8,703",0,38
b01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2016,8,August,"7,807",0,22
B01996,PUEBLA EXP.CORP.,,2017,4,April,"12,860",0,56
B02173,ADMIRE LLP LLC,,2015,8,August,326,0,24
B01045,CAPRICE CAR SERVICE NO.2 INC.,,2015,11,November,"7,282",0,52
B00837,CAREY LIMO N Y INC,,2015,5,May,"13,864",0,250
B02460,CABOT LIMO NY CORP.,,2015,12,December,"1,025",0,23
B02975,LI YANG LIMOUSINE INC,,2018,6,June,"3,560",0,25
B03127,ULTIMATE BLACK CAR CORP.,,2018,9,September,29,0,4
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2017,6,June,13,0,3
B02316,"AJAY CAR SERVICE, LLC.",,2015,12,December,"1,434",0,17
B01546,BELLE-ROCK OF BEACH CHANNEL INC.,,2016,2,February,"2,412",0,10
B02207,"EASTERN LUXURY, INC.",,2017,3,March,487,0,93
B02345,WESTCHESTER ACQUISITION CORP.,,2015,11,November,"3,251",0,110
B02651,SAROS TRANSPORTATION GROUP INC.,,2016,4,April,218,0,16
B01593,"NOVAK GLOBAL, INC.",SKYWAY CAR SERVICE,2017,2,February,"1,464",0,10
B02292,NEW YORK APPLE V.I.P. CORP,,2015,12,December,862,0,23
B00860,SEAMAN RADIO DISPATCHERS INC,,2018,3,March,"24,351",0,127
B02694,CITY LIMOUSINE TRANSPORTATION INC.,,2018,3,March,92,0,8
B02881,DIANE CAR AND LIMO SERVICE LLC,,2017,12,December,"7,441",0,40
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2018,12,December,"18,644",48,119
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2018,9,September,"26,909",0,527
B02972,BLESSING TRANSPORTATION GROUP INC,,2018,4,April,357,0,7
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,2018,9,September,"1,923",0,21
B03158,SPOTON.PET LLC,,2018,11,November,58,0,7
B02611,SS LIMOUSINE SERVICE INC,,2017,10,October,160,0,4
B02851,GALLANT CAR SERVICE CORP.,,2016,10,October,102,0,2
B02550,AGAPE LUXURY CORP.,,2016,5,May,"28,103",0,346
B00111,SKYLINE CREDIT RIDE INC,,2017,7,July,"15,147",0,306
B02643,LORY CAR SERVICE CORP.,,2018,9,September,75,0,2
B00151,KINGSBAY CAR SERVICE INC,,2017,8,August,271,0,34
B01339,R C AUDUBON SVC INC,,2015,12,December,"13,724",0,143
B00881,CROSSBAY CAR SERVICE NY INC,,2018,3,March,69,0,12
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2016,4,April,"2,998",0,18
B01944,"DAG NETWORK TRANSPORTATION,CORP",,2017,11,November,261,0,18
B00171,CURB TRANSPORTATION SERVICES LLC.,,2015,11,November,"4,481",0,38
B02110,"OPTIMUM CAR & LIMO, INC.",,2018,1,January,"1,045",0,7
B01124,COOPERATIVA CLBNA DE CON INC,,2017,2,February,"8,859",0,61
B01215,ECUADOOR CORP,,2019,1,January,"8,673",0,40
B02391,"BAYRIDGE EXPRESS, INC",,2018,6,June,"1,036",0,17
B02175,MURRAY'S LIMOUSINE SERVICE INC.,,2018,9,September,72,0,8
B00054,128 BLUE BIRD TRANSPORT INC.,LATCH CAR SERVICE,2016,2,February,"3,589",0,9
B02228,SPECIAL RADIO DISP.CORP.,,2017,3,March,"2,239",0,17
B03000,ZAPP CAR SERVICE INC.,,2017,8,August,4,0,4
B02759,"LAPUMA TRANSPORTATION GROUP,LLC",LAPUMA,2017,6,June,"4,492",0,56
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2017,6,June,75,0,10
B02397,"CHICO EXPRESS,INC.",,2018,2,February,"5,449",0,30
B02658,ASCONA CAR SERVICE INC.,,2016,12,December,660,0,6
B01339,R C AUDUBON SVC INC,,2018,6,June,"10,607",0,76
B02515,OLS LIMOUSINE SERVICE INC.,,2017,10,October,184,0,12
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2018,11,November,"1,777",0,18
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2017,12,December,64,0,11
B02980,ADVANTAGE LIMO OF NY INC,,2018,9,September,34,0,1
B01081,GEORGE TOWN MANAGEMENT INC,,2018,2,February,"1,308",0,12
B03062,BQN VOUCHER INC,,2017,10,October,25,0,3
B00277,ALL CITY CORP TRANS INC,,2018,7,July,"1,207",0,38
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2016,7,July,"6,153",0,37
B02893,DORADO EXPRESS INC.,,2016,2,February,335,0,9
B02841,"SKYWAY EXECUTIVE SERVICE, INC",,2019,1,January,191,0,4
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2017,11,November,606,0,22
B02331,"CHICO EXPRESS LIMO, INC.",,2016,7,July,"4,928",0,19
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,2016,7,July,195,0,16
B02298,NYG LIMOUSINE LLC,,2016,6,June,"1,270",0,28
B02599,CMS LIMO INC.,,2017,9,September,387,0,10
B01346,ARECIBO C/S INC,,2016,5,May,"14,836",0,75
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2015,11,November,"8,705",0,40
B00310,WATSON CAR SERVICE INC.,,2017,3,March,"42,697",0,194
B00937,RIVERSIDE RADIO DISPATCHER,,2017,12,December,"48,596",0,243
B00692,"CHEERS DISPATCH,INC.",SEVENTH AVE CAR SERVICE,2017,4,April,"3,215",0,14
B01546,BELLE-ROCK OF BEACH CHANNEL INC.,,2018,12,December,"1,794",0,11
B01087,ELITE LIMO PLUS INC,,2015,3,March,"19,128",0,315
B00202,"EXCELSIOR CAR & LIMO, INC.",,2018,6,June,350,0,9
B01300,KENNEDY RAD DISP INC,,2016,12,December,"16,219",0,143
B01957,"ANIMO, INC",CHRIS LIMOUSINE U.S.A.,2018,8,August,39,0,1
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,2018,11,November,"3,873",0,22
B01318,LOWER EAST SIDE C/S CORP,,2016,3,March,"15,330",0,67
B02970,FLYTE LINE TRANSPORTATION LLC,,2017,9,September,"1,660",0,102
B02736,TRINITY CAR SERVICE INC,,2017,11,November,757,0,9
B01056,UNITY CAR & LIMO INC.,,2018,7,July,"1,463",0,11
B01313,JOY CAR SERVICES INC.,,2015,1,January,577,0,52
B01328,DV LUXURY CAR SERVICE INC,RIDE SAFE CAR SERVICE,2017,12,December,"2,115",0,40
B01346,ARECIBO C/S INC,,2017,11,November,"20,231",0,148
B02896,DJOUMA LIMO INC,,2017,9,September,118,0,10
B01300,KENNEDY RAD DISP INC,,2016,6,June,"17,203",0,135
B02534,DV LUXURY TRANSPORTATION CORPORATION,,2018,4,April,"6,599",0,57
B02229,NEW FAT INC.,ELEGANTE,2018,8,August,"2,561",0,28
B02749,FACE LIMO INC,,2016,2,February,144,0,7
B02911,"BRITISH LUXURY TRANSPORTATION, INC.",,2017,4,April,13,0,10
B01984,NY 88 EXPRESS CORP.,,2015,9,September,"29,286",0,145
B01454,FREEDOM LIMO & CAR SERVICE,,2017,8,August,434,0,42
B01559,MUNKACS CAR SVC LTD,,2018,3,March,"4,669",0,17
B01338,3210 WEBSTER AV PRESTIGE C/S,,2017,5,May,"34,700",0,319
B01808,OLD TOWN CARS CORP,DELTA CARS,2018,4,April,"2,417",0,6
B02681,DIRECT CAR & LIMO SERVICE INC.,,2017,3,March,104,0,4
B01340,UNICAR COMPANY INC,,2019,1,January,"15,114",31,78
B02952,BELLEROSE CAR & LIMO SERVICE INC,,2018,6,June,90,0,5
b00881,CROSSBAY CAR SERVICE NY INC,,2015,5,May,617,0,22
B01056,UNITY CAR & LIMO INC.,,2018,2,February,140,0,1
B01196,DIPLO RAD DISP INC,,2016,1,January,"27,010",0,194
B00429,SURF CAR SYSTEMS INC,,2015,11,November,"2,462",0,28
B00888,ACE C/L SVCE INC,,2018,5,May,"1,738",0,39
B01639,HIGH CLASS LIMO CAR SVCE CORP,,2018,6,June,"8,379",0,107
B01196,DIPLO RAD DISP INC,,2017,9,September,"10,053",0,87
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2017,6,June,"4,192",0,20
